epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1784.88,1.12235,0.59606,1.18063,0.88493,0.90789,0.94478,0.66718,0.80957,0.45093,1.08253,0.00804866,0.00804866,0.00804866
43,1826.79,1.10972,0.60941,1.15399,0.93219,0.95795,0.97309,0.69334,0.80724,0.44783,1.09363,0.00795954,0.00795954,0.00795954
44,1868.4,1.05625,0.5905,1.14525,0.94116,0.9281,0.96137,0.71738,0.74022,0.42975,1.06184,0.00786895,0.00786895,0.00786895
45,1910.05,0.98416,0.54212,1.1239,0.97917,0.93043,0.96776,0.71431,0.73955,0.43591,1.04294,0.00777694,0.00777694,0.00777694
46,1951.75,1.02828,0.54327,1.12296,0.95558,0.92105,0.97328,0.69992,0.80405,0.48178,1.09017,0.00768356,0.00768356,0.00768356
47,1993.46,1.02565,0.55412,1.10972,0.95151,0.93552,0.96823,0.70217,0.72202,0.42091,1.04491,0.00758885,0.00758885,0.00758885
48,2035.75,1.03658,0.56486,1.13289,0.9408,0.93065,0.96694,0.70019,0.74994,0.52974,1.05003,0.00749287,0.00749287,0.00749287
49,2078.75,0.97459,0.54965,1.10382,0.97545,0.93421,0.97637,0.71618,0.75219,0.43048,1.05591,0.00739565,0.00739565,0.00739565
50,2121.82,1.01719,0.54414,1.1126,0.99248,0.94101,0.97919,0.71902,0.71372,0.42227,1.04463,0.00729725,0.00729725,0.00729725
51,2163.96,0.98664,0.52543,1.1081,0.95592,0.93421,0.95158,0.72087,0.72185,0.40776,1.03883,0.00719772,0.00719772,0.00719772
52,2206.32,1.00412,0.53727,1.12562,0.92783,0.93421,0.94895,0.70886,0.71623,0.38296,1.04097,0.00709711,0.00709711,0.00709711
53,2248.82,0.97499,0.53247,1.10162,0.93186,0.89377,0.92353,0.69805,0.69443,0.40129,1.03373,0.00699547,0.00699547,0.00699547
54,2291.1,0.9493,0.51185,1.07097,0.94297,0.90789,0.94535,0.71606,0.69927,0.43348,1.03355,0.00689285,0.00689285,0.00689285
55,2333.41,1.00985,0.55082,1.11873,0.90954,0.94264,0.95565,0.69611,0.7394,0.55537,1.05626,0.00678931,0.00678931,0.00678931
56,2375.79,0.99939,0.54281,1.12095,0.93828,0.93421,0.97066,0.71788,0.69761,0.39298,1.03817,0.00668488,0.00668488,0.00668488
57,2417.96,0.96634,0.52355,1.09336,0.97441,0.94737,0.97442,0.71935,0.67783,0.38644,1.01037,0.00657963,0.00657963,0.00657963
58,2460.28,1.06597,0.55666,1.15307,0.93154,0.89474,0.95879,0.70067,0.71442,0.42029,1.02879,0.00647362,0.00647362,0.00647362
